# generated by unwrap_scan from RustPython @ 3290f287f (regenerate: cargo run --release -- $RUSTPYTHON_ROOT)
# module	name	kind	reachable	pattern	file:line
faulthandler	_fatal_error_c_thread	fn	py	panic	crates/stdlib/src/faulthandler.rs:993
math	prod	fn	py	unwrap	crates/stdlib/src/math.rs:547
math	prod	fn	py	unwrap	crates/stdlib/src/math.rs:590
math	sumprod	fn	py	unwrap	crates/stdlib/src/math.rs:640
math	sumprod	fn	py	unwrap	crates/stdlib/src/math.rs:674
math	sumprod	fn	py	unwrap	crates/stdlib/src/math.rs:730
mmap	PyMmap.find	method	py	unwrap	crates/stdlib/src/mmap.rs:795
mmap	PyMmap.flush	method	py	unwrap	crates/stdlib/src/mmap.rs:828
mmap	PyMmap.madvise	method	py	unwrap	crates/stdlib/src/mmap.rs:853
mmap	PyMmap.madvise	method	py	unreachable	crates/stdlib/src/mmap.rs:857
mmap	PyMmap.read	method	py	unwrap	crates/stdlib/src/mmap.rs:932
mmap	PyMmap.read_byte	method	py	unwrap	crates/stdlib/src/mmap.rs:948
mmap	PyMmap.readline	method	py	unwrap	crates/stdlib/src/mmap.rs:965
mmap	PyMmap.rfind	method	py	unwrap	crates/stdlib/src/mmap.rs:812
nt	_create_environ	fn	py	unwrap	crates/vm/src/stdlib/nt.rs:142
nt	_path_splitroot	fn	py	expect	crates/vm/src/stdlib/nt.rs:759
nt	chmod	fn	py	unreachable	crates/vm/src/stdlib/nt.rs:196
posix	_create_environ	fn	py	unwrap	crates/vm/src/stdlib/posix.rs:405
posix	ttyname	fn	py	unwrap	crates/vm/src/stdlib/posix.rs:1269
re	PyMatch.group	method	py	unwrap	crates/stdlib/src/re.rs:420
re	PyMatch.group	method	py	unwrap	crates/stdlib/src/re.rs:423
select	PyEpoll.poll	method	py	unwrap	crates/stdlib/src/select.rs:521
select	select	fn	py	unwrap	crates/stdlib/src/select.rs:80
select	select	fn	py	unwrap	crates/stdlib/src/select.rs:138
